"","X","species","gbifID","class","order","family","genus","decimalLatitude","decimalLongitude","depth","eventDate","day","month","year","SpiculeTypes","ph","silica","temperature"
"92",542861,"Corticium vaceleti",4055768453,"Homoscleromorpha","Homosclerophorida","Plakinidae","Corticium",-21.688333,165.463517,22.5,"2013-02-07T00:00:00",7,2,2013,1,8.09380340576172,1.3161740899086,1.90444656461477
"93",542863,"Corticium vaceleti",4055770651,"Homoscleromorpha","Homosclerophorida","Plakinidae","Corticium",-21.688383,165.463517,22.5,"2013-02-07T00:00:00",7,2,2013,1,8.09380340576172,1.3161740899086,1.90444656461477
"94",549417,"Cymbastela cantharella",3855724500,"Demospongiae","Axinellida","Axinellidae","Cymbastela",-17.706,168.263333,10,"2000-11-17T00:00:00",17,11,2000,1,8.08341503143311,1.29611057043076,2.69841610640287
"95",552844,"Dictyoplax lecus",4055757499,"Hexactinellida","Sceptrulophora","Auloplacidae","Dictyoplax",24.0597,-74.5542,762,"2002-11-16T00:00:00",16,11,2002,4,7.92338705062866,13.8815231323242,1.8663594648242
"96",552847,"Dictyoplax lecus",4055763875,"Hexactinellida","Sceptrulophora","Auloplacidae","Dictyoplax",24.059738,-74.554223,762,"2002-11-16T00:00:00",16,11,2002,4,7.92338705062866,13.8815231323242,1.8663594648242
"97",552848,"Dictyoplax lecus",2236082380,"Hexactinellida","Sceptrulophora","Auloplacidae","Dictyoplax",22.5333,-73.6167,2924,"1988-12-05T00:00:00",5,12,1988,4,7.95062756538391,23.7903385162354,3.2089297324419
"98",565150,"Farrea bowerbanki",4055767951,"Hexactinellida","Sceptrulophora","Farreidae","Farrea",41.66148,8.7953,383,"2014-07-31T00:00:00",31,7,2014,3,8.0787034034729,3.4859938621521,13.3188573941588
"99",565151,"Farrea bowerbanki",4055749185,"Hexactinellida","Sceptrulophora","Farreidae","Farrea",41.66148,8.7953,383,"2014-07-31T00:00:00",31,7,2014,3,8.0787034034729,3.4859938621521,13.3188573941588
"100",580244,"Grantessa borojevici",4055766809,"Calcarea","Leucosolenida","Heteropiidae","Grantessa",-8.5433,119.6133,150,"1984-09-18T00:00:00",18,9,1984,5,7.92963528633118,15.4830131530762,4.35483872517943
"101",580245,"Grantessa borojevici",4055760952,"Calcarea","Leucosolenida","Heteropiidae","Grantessa",-8.5433,119.6133,150,"1984-09-18T00:00:00",18,9,1984,5,7.92963528633118,15.4830131530762,4.35483872517943
"102",611047,"Hexactinella carolinensis",2557197162,"Hexactinellida","Sceptrulophora","Tretodictyidae","Hexactinella",32.73447,-78.09925,213,"1992-05-25T00:00:00",25,5,1992,3,7.98355650901794,7.95071959495544,13.7546617090702
"103",611048,"Hexactinella carolinensis",4055737172,"Hexactinellida","Sceptrulophora","Tretodictyidae","Hexactinella",32.7345,-78.0992,213,"1992-05-25T00:00:00",25,5,1992,3,7.98355650901794,7.95071959495544,13.7546617090702
"104",611049,"Hexactinella carolinensis",1322745703,"Hexactinellida","Sceptrulophora","Tretodictyidae","Hexactinella",32.7345,-78.0992,213,"1992-05-25T00:00:00",25,5,1992,3,7.98355650901794,7.95071959495544,13.7546617090702
"105",611050,"Hexactinella carolinensis",4055750461,"Hexactinellida","Sceptrulophora","Tretodictyidae","Hexactinella",32.7345,-78.099167,213,"1992-05-25T00:00:00",25,5,1992,3,7.98355650901794,7.95071959495544,13.7546617090702
"106",613149,"Holascus pseudostellatus",4055760813,"Hexactinellida","Lyssacinosida","Euplectellidae","Holascus",-65.332667,-48.142833,4059.5,"2002-03-08T00:00:00",8,3,2002,5,7.81257891654968,127.413356781006,-0.630542904138565
"107",613151,"Holascus pseudostellatus",4055739058,"Hexactinellida","Lyssacinosida","Euplectellidae","Holascus",-65.332667,-48.142833,4059.5,"2002-03-08T00:00:00",8,3,2002,5,7.81257891654968,127.413356781006,-0.630542904138565
"108",613484,"Homaxinella amphispicula",2557132527,"Demospongiae","Suberitida","Suberitidae","Homaxinella",52.86022,172.44911,149,"2002-06-19T00:00:00",19,6,2002,2,7.63893222808838,66.2622604370117,1.29871518909931
"109",613485,"Homaxinella amphispicula",2557133552,"Demospongiae","Suberitida","Suberitidae","Homaxinella",52.81964,173.7278,116,"2002-06-22T00:00:00",22,6,2002,2,7.66629266738892,60.1745681762695,1.37415694445372
"110",613486,"Homaxinella amphispicula",2557142591,"Demospongiae","Suberitida","Suberitidae","Homaxinella",51.92779,178.2435,239,"2000-06-28T00:00:00",28,6,2000,2,7.60885286331177,78.6812896728516,2.02969452738762
"111",613487,"Homaxinella amphispicula",2557130695,"Demospongiae","Suberitida","Suberitidae","Homaxinella",52.96836,-170.3925,221,"2000-05-26T00:00:00",26,5,2000,2,7.68014121055603,63.1921081542969,2.24063846468925
"112",613488,"Homaxinella amphispicula",2557128763,"Demospongiae","Suberitida","Suberitidae","Homaxinella",53.77915,-167.26338,163,"2012-06-10T00:00:00",10,6,2012,2,7.75593495368958,46.2890586853027,3.36201057583094
