"","species","gbifID","class","order","family","genus","decimalLatitude","decimalLongitude","depth","eventDate","day","month","year","SpiculeTypes"
"613502","Homaxinella amphispicula","2557143299","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.29319","-173.3747",350,"2002-07-30T00:00:00",30,7,2002,2
"613503","Homaxinella amphispicula","2557132095","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.72819","-170.75039",262,"2012-06-19T00:00:00",19,6,2012,2
"613504","Homaxinella amphispicula","2557144488","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.1341","176.2499",125,"2000-07-06T00:00:00",6,7,2000,2
"613505","Homaxinella amphispicula","2557139860","Demospongiae","Suberitida","Suberitidae","Homaxinella","51.60797","-176.59359",150,"2000-06-18T00:00:00",18,6,2000,2
"613506","Homaxinella amphispicula","2557133739","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.37329","-170.6559",285,"2000-05-31T00:00:00",31,5,2000,2
"613507","Homaxinella amphispicula","2557139606","Demospongiae","Suberitida","Suberitidae","Homaxinella","51.769","177.69261",246,"2010-07-10T00:00:00",10,7,2010,2
"613508","Homaxinella amphispicula","2557139437","Demospongiae","Suberitida","Suberitidae","Homaxinella","51.64306","-178.49764",188,"2004-07-03T00:00:00",3,7,2004,2
"613509","Homaxinella amphispicula","2557136263","Demospongiae","Suberitida","Suberitidae","Homaxinella","51.84077","-173.92295",317,"1997-07-05T00:00:00",5,7,1997,2
"613510","Homaxinella amphispicula","2557144823","Demospongiae","Suberitida","Suberitidae","Homaxinella","51.6514","178.33041",212,"2010-07-24T00:00:00",24,7,2010,2
"613511","Homaxinella amphispicula","2557136595","Demospongiae","Suberitida","Suberitidae","Homaxinella","51.99417","-173.96554",96,"2004-06-28T00:00:00",28,6,2004,2
"613512","Homaxinella amphispicula","2557128133","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.45853","-169.81527",246,"2011-05-23T00:00:00",23,5,2011,2
"613513","Homaxinella amphispicula","2557144677","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.20645","176.20541",90,"2000-07-06T00:00:00",6,7,2000,2
"613515","Homaxinella amphispicula","2557145823","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.03602","-172.2493",169,"2002-07-18T00:00:00",18,7,2002,2
"613516","Homaxinella amphispicula","2557132295","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.39969","-170.62265",320,"2000-05-29T00:00:00",29,5,2000,2
"613518","Homaxinella amphispicula","2557146091","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.5189","-179.94565",395,"2002-07-14T00:00:00",14,7,2002,2
"613519","Homaxinella amphispicula","2557139586","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.15206","175.12165",209,"2002-07-08T00:00:00",8,7,2002,2
"613520","Homaxinella amphispicula","2557126349","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.5446","-169.6794",134,"2003-05-24T00:00:00",24,5,2003,2
"613521","Homaxinella amphispicula","2557142384","Demospongiae","Suberitida","Suberitidae","Homaxinella","51.60925","-178.84856",255,"2012-07-10T00:00:00",10,7,2012,2
"613522","Homaxinella amphispicula","2557126305","Demospongiae","Suberitida","Suberitidae","Homaxinella","53.15554","-167.37315",98,"2001-05-21T00:00:00",21,5,2001,2
"613523","Homaxinella amphispicula","2557128253","Demospongiae","Suberitida","Suberitidae","Homaxinella","54.23268","-165.7829",86,"1997-06-12T00:00:00",12,6,1997,2
"613524","Homaxinella amphispicula","2557148114","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.84372","172.4003",224,"2000-07-17T00:00:00",17,7,2000,2
"613526","Homaxinella amphispicula","2557137515","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.06551","-172.5597",148,"1997-06-27T00:00:00",27,6,1997,2
"613527","Homaxinella amphispicula","2557144098","Demospongiae","Suberitida","Suberitidae","Homaxinella","51.49141","178.62555",217,"2000-06-30T00:00:00",30,6,2000,2
"613528","Homaxinella amphispicula","2557126620","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.64632","-169.10784",124,"2007-05-30T00:00:00",30,5,2007,2
"613529","Homaxinella amphispicula","2557135519","Demospongiae","Suberitida","Suberitidae","Homaxinella","51.86407","-174.0581",146,"2000-06-14T00:00:00",14,6,2000,2
"613530","Homaxinella amphispicula","2557130904","Demospongiae","Suberitida","Suberitidae","Homaxinella","52.3407","173.52325",86,"2002-06-17T00:00:00",17,6,2002,2
